Nom,salaries,CA
TOTAL,100000,205000000000
CARREFOUR,197000,77300000000
GROUPE AUCHAN,350000,50560000000
APPLE,137000,352000000000
EDF,165000,57000000000
AMAZON,1500000,415000000000
FACEBOOK,71000,117000000000
DISNEY,223000,48000000000
LOREAL,86000,32000000000
NIKE,73000,49000000000
GOOGLE,72000,257000000000
